Scanning image go-example-tester.tar
+--------------------------------+------+-----------+-------------+-----------------------+--------------------------------------------+
| OSV URL                        | CVSS | ECOSYSTEM | PACKAGE     | VERSION               | SOURCE                                     |
| https://osv.dev/CVE-2023-45283 | 7.5  | Debian:12 | golang-1.19 | 1.19.8-2              | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2023-45284 | 5.3  | Debian:12 | golang-1.19 | 1.19.8-2              | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2023-45283 | 7.5  | Debian:12 | golang-1.19 | 1.19.8-2              | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2023-45284 | 5.3  | Debian:12 | golang-1.19 | 1.19.8-2              | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2017-9937  | 6.5  | Debian:12 | jbigkit     | 2.1-6.1               | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2018-5709  | 7.5  | Debian:12 | krb5        | 1.20.1-2+deb12u1      | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2018-5709  | 7.5  | Debian:12 | krb5        | 1.20.1-2+deb12u1      | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2018-5709  | 7.5  | Debian:12 | krb5        | 1.20.1-2+deb12u1      | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2018-5709  | 7.5  | Debian:12 | krb5        | 1.20.1-2+deb12u1      | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2018-5709  | 7.5  | Debian:12 | krb5        | 1.20.1-2+deb12u1      | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2018-6829  | 7.5  | Debian:12 | libgcrypt20 | 1.10.1-3              | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2024-25269 |      | Debian:12 | libheif     | 1.15.1-1              | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2021-4214  | 5.5  | Debian:12 | libpng1.6   | 1.6.39-2              | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2004-0230  |      | Debian:12 | linux       | 6.1.76-1              | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2005-3660  |      | Debian:12 | linux       | 6.1.76-1              | go-example-tester.tar:/var/lib/dpkg/status |
| https://osv.dev/CVE-2007-3719  |      | Debian:12 | linux       | 6.1.76-1              | go-example-tester.tar:/var/lib/dpkg/status |
